%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
3844,281,0.56,0,0,0,0,0,0,0,0,366,0.46331668,2.42,2.06,1.89,1,1012,Normal
3844,281,0.56,1,505,0,0,0,0,0,0,370,0.46800417,2.42,2.08,1.9,1,1006,Normal
3844,281,0.56,97,12527,84,69680,0,0,0,0,314,0.39710954,2.44,2.09,1.9,4,1033,Normal
3844,281,0.56,17,15289,13,6126,0,0,0,0,154,0.19462468,2.44,2.1,1.91,2,1034,Normal
3844,281,0.56,7,16124,7,386,0,0,0,0,143,0.18081385,2.45,2.12,1.92,1,1041,Normal
3844,281,0.56,8,16779,8,512,0,0,0,0,143,0.18094213,2.38,2.11,1.92,2,1040,Normal
3743,287,0.55,15,18604,20,1879,0,0,0,0,137,0.17317078,2.63,2.17,1.94,1,1070,Normal
3743,287,0.55,10,19389,7,469,0,0,0,0,137,0.17338787,2.62,2.19,1.95,7,1070,Normal
3743,287,0.55,11,20211,11,870,0,0,0,0,136,0.1729586,2.61,2.2,1.95,1,1070,Normal
3743,287,0.55,14,21255,96,30082,0,0,0,0,136,0.17246518,2.51,2.19,1.95,2,1069,Normal
3743,287,0.55,30,26015,21,7292,0,0,0,0,135,0.17084183,2.51,2.2,1.96,1,1065,Normal
3743,287,0.55,7,26557,6,425,0,0,0,0,136,0.17285497,2.35,2.18,1.95,2,1065,Normal
3733,292,0.55,15,28019,12,4730,0,0,0,0,145,0.18361647,2.3,2.17,1.95,2,1066,Normal
3733,292,0.55,2,163,0,0,0,0,0,0,125,0.15836322,2.66,2.25,1.98,7,984,Normal
3733,292,0.55,0,0,0,0,0,0,0,0,153,0.19404738,2.78,2.29,2.0,2,981,Normal
3733,292,0.55,34,4623,24,5225,0,0,0,0,147,0.18643391,2.74,2.3,2.0,1,977,Normal
3733,292,0.55,6,5346,3,345,0,0,0,0,145,0.18410003,2.55,2.27,2.0,5,980,Normal
3733,292,0.55,11,6467,5,544,0,0,0,0,146,0.1854668,2.39,2.25,1.99,2,981,Normal
3788,290,0.55,4,7050,2,104,0,0,0,0,148,0.188151,2.33,2.24,1.99,2,976,Normal
3788,290,0.55,10,8098,5,363,0,0,0,0,156,0.19730395,2.13,2.2,1.98,2,975,Normal
3788,290,0.55,10,9360,5,682,0,0,0,0,155,0.19676612,1.95,2.16,1.97,1,975,Normal
3788,290,0.55,3,9873,0,0,0,0,0,0,157,0.19848816,1.89,2.14,1.97,3,975,Normal
3788,290,0.55,6,10644,1,60,0,0,0,0,153,0.19422008,1.75,2.1,1.95,5,978,Normal
3788,290,0.55,3,11157,1,60,0,0,0,0,156,0.19799967,2.1,2.16,1.98,1,976,Normal
3791,288,0.54,6,11928,0,0,0,0,0,0,154,0.19533028,1.93,2.12,1.97,2,976,Normal
3791,288,0.54,16,16629,9,5324,0,0,0,0,156,0.19762467,1.94,2.12,1.97,1,976,Normal
3791,288,0.54,12,18058,6,1215,0,0,0,0,156,0.19737303,1.79,2.08,1.95,2,976,Normal
3791,288,0.54,3,18571,0,0,0,0,0,0,156,0.19741744,1.83,2.08,1.95,1,976,Normal
3791,288,0.54,6,19342,0,0,0,0,0,0,154,0.19499475,2.0,2.11,1.97,4,979,Normal
3791,288,0.54,3,19855,0,0,0,0,0,0,155,0.19702764,1.84,2.07,1.95,3,976,Normal
3798,286,0.54,13,23932,3,2594,0,0,0,0,180,0.22755554,2.04,2.1,1.97,3,973,Normal
3799,286,0.54,79,30296,74,94643,0,0,0,0,151,0.1911806,3.12,2.33,2.04,4,1054,Normal
3799,286,0.54,3,30809,0,0,0,0,0,0,143,0.18183523,2.95,2.31,2.04,4,1070,Normal
3799,286,0.54,6,31580,0,0,0,0,0,0,143,0.18070036,2.81,2.3,2.04,3,1069,Normal
3799,286,0.54,3,32093,1,60,0,0,0,0,144,0.1820326,2.6,2.27,2.03,1,1070,Normal
3799,286,0.54,6,32864,1,60,0,0,0,0,144,0.1820918,2.52,2.26,2.03,1,1070,Normal
3799,286,0.54,3,33377,0,0,0,0,0,0,144,0.18201779,2.28,2.22,2.02,1,1070,Normal
3900,295,0.54,22,38098,13,5532,0,0,0,0,143,0.1818007,2.31,2.23,2.03,1,1070,Normal
3900,295,0.54,3,38611,0,0,0,0,0,0,143,0.18165267,2.11,2.19,2.01,1,1070,Normal
3900,295,0.54,6,39382,0,0,0,0,0,0,143,0.18150957,1.94,2.15,2.0,1,1070,Normal
3900,295,0.54,3,39895,0,0,0,0,0,0,143,0.18128753,1.87,2.13,2.0,3,1070,Normal
3900,295,0.54,4,40494,0,0,0,0,0,0,143,0.18112963,2.03,2.16,2.01,5,1070,Normal
3900,295,0.54,5,41179,0,0,0,0,0,0,143,0.18091747,1.95,2.14,2.0,3,1070,Normal
3916,294,0.55,7,42001,3,222,0,0,0,0,143,0.18077438,1.88,2.12,2.0,1,1070,Normal
3916,294,0.55,9,42988,4,190,0,0,0,0,142,0.18032536,1.82,2.09,1.99,5,1064,Normal
