%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Current   		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
4268,2,306,1.0,0,0,0,0,0,0,0,0,143,0.1816872,2.49,6.35,7.1,2,967,Infected
4268,2,306,1.0,0,0,110,47316,0,0,0,0,133,0.16900137,2.48,6.22,7.05,1,974,Infected
4268,2,306,1.0,0,0,0,0,0,0,0,0,133,0.16868064,2.48,6.1,7.0,1,974,Infected
4268,2,306,1.0,0,0,200,84604,0,0,0,0,330,0.41721147,2.33,5.95,6.95,4,925,Infected
4268,2,306,1.0,0,0,92,39096,0,0,0,0,300,0.379302,2.28,5.82,6.89,1,939,Infected
4199,2,313,1.0,203,17447,375,91012,0,0,0,0,304,0.38455692,2.73,5.79,6.87,1,987,Infected
4199,2,313,1.0,75,23953,72,6984,0,0,0,0,291,0.36757836,2.9,5.73,6.84,1,1001,Infected
4199,2,313,1.0,77,30654,72,6792,0,0,0,0,259,0.3274929,3.31,5.72,6.83,2,1014,Infected
4199,2,313,1.0,51,35055,48,4368,0,0,0,0,262,0.33115405,3.34,5.65,6.79,2,1016,Infected
4199,2,313,1.0,63,40524,60,5556,0,0,0,0,264,0.33435637,3.29,5.56,6.75,2,1016,Infected
4199,2,313,1.0,27,42981,24,2184,0,0,0,0,260,0.32891393,3.32,5.5,6.72,4,1014,Infected
4202,2,321,1.0,39,46383,37,3628,0,0,0,0,234,0.29676268,3.26,5.41,6.68,2,1011,Infected
4202,2,321,1.0,252,67551,252,23604,0,0,0,0,130,0.16498986,3.22,5.33,6.64,1,1032,Infected
4202,2,321,1.0,36,70899,36,3624,0,0,0,0,130,0.16503426,3.27,5.27,6.6,3,1032,Infected
4202,2,321,1.0,24,72975,24,2316,0,0,0,0,128,0.16236487,3.15,5.18,6.56,1,1031,Infected
4202,2,321,1.0,60,78411,60,5952,0,0,0,0,126,0.15930566,3.13,5.11,6.52,2,1028,Infected
4202,2,321,1.0,12,79491,12,1200,0,0,0,0,126,0.15945862,2.96,5.01,6.47,1,1028,Infected
4202,2,327,1.0,1,79537,1,28,0,0,0,0,126,0.1602629,2.8,4.91,6.43,2,1028,Infected
4202,2,327,1.0,24,81673,24,2376,0,0,0,0,128,0.1622267,2.68,4.81,6.38,1,1029,Infected
4202,2,327,1.0,0,81673,0,0,0,0,0,0,127,0.16145697,2.58,4.72,6.33,3,1030,Infected
4202,2,327,1.0,24,83749,24,2316,0,0,0,0,127,0.16098823,2.71,4.68,6.3,1,1030,Infected
4202,2,327,1.0,0,83749,0,0,0,0,0,0,127,0.16051947,2.74,4.65,6.28,4,1030,Infected
4202,2,327,1.0,13,84755,13,1108,0,0,0,0,126,0.16023822,2.62,4.57,6.24,2,1030,Infected
4202,2,327,1.0,0,84755,0,0,0,0,0,0,125,0.15901454,2.77,4.53,6.21,1,1030,Infected
4190,2,333,1.0,0,84755,0,0,0,0,0,0,125,0.15866914,2.81,4.48,6.17,3,1030,Infected
4190,2,333,1.0,37,88101,37,3604,0,0,0,0,126,0.15943395,2.92,4.45,6.14,4,1030,Infected
4190,2,333,1.0,0,88101,0,0,0,0,0,0,126,0.15951289,2.93,4.4,6.11,1,1030,Infected
4190,2,333,1.0,12,89181,12,1200,0,0,0,0,126,0.15923658,3.09,4.39,6.09,1,1030,Infected
4190,2,333,1.0,1,89227,1,28,0,0,0,0,125,0.15879744,3.23,4.37,6.07,3,1030,Infected
4190,2,333,1.0,0,89227,0,0,0,0,0,0,126,0.1593994,3.19,4.33,6.03,1,1030,Infected
4176,2,340,1.0,24,91219,24,2232,0,0,0,0,124,0.15770698,3.37,4.33,6.02,2,1030,Infected
4176,2,340,1.0,13,92573,13,1372,0,0,0,0,117,0.1479718,3.46,4.32,6.0,3,1020,Infected
4176,2,340,1.0,0,92573,0,0,0,0,0,0,130,0.16445696,3.31,4.26,5.96,2,986,Infected
4176,2,340,1.0,0,92573,0,0,0,0,0,0,129,0.16307046,3.32,4.24,5.93,1,986,Infected
4176,2,340,1.0,0,92573,0,0,0,0,0,0,128,0.16221191,3.64,4.28,5.93,2,986,Infected
4176,2,340,1.0,0,92573,0,0,0,0,0,0,129,0.16348986,3.62,4.25,5.9,1,985,Infected
4153,2,346,1.0,49,96603,49,4492,0,0,0,0,129,0.16318394,3.45,4.19,5.86,2,985,Infected
4153,2,346,1.0,0,96603,0,0,0,0,0,0,129,0.16313954,3.46,4.17,5.84,2,985,Infected
4153,2,346,1.0,48,100719,48,4596,0,0,0,0,136,0.17298327,3.31,4.12,5.8,4,984,Infected
4153,2,346,1.0,1,100765,1,28,0,0,0,0,136,0.17270201,3.33,4.1,5.78,1,985,Infected
4153,2,346,1.0,0,100765,0,0,0,0,0,0,136,0.17255893,3.27,4.06,5.75,2,985,Infected
4153,2,346,1.0,0,100765,0,0,0,0,0,0,135,0.17165104,3.23,4.02,5.72,2,984,Infected
4142,2,352,1.0,1,100765,0,0,0,0,0,0,135,0.17111814,3.27,4.01,5.69,2,995,Infected
4142,2,352,1.0,12,101819,13,1156,0,0,0,0,135,0.17071848,3.16,3.96,5.66,3,994,Infected
4142,2,352,1.0,0,101819,0,0,0,0,0,0,135,0.17059511,2.98,3.89,5.62,1,994,Infected
4142,2,352,1.0,0,101819,0,0,0,0,0,0,134,0.17013623,3.06,3.88,5.6,2,994,Infected
4142,2,352,1.0,0,101819,0,0,0,0,0,0,134,0.16984512,3.04,3.85,5.57,1,994,Infected
4142,2,352,1.0,24,103811,24,2232,0,0,0,0,128,0.16267572,3.11,3.84,5.55,2,993,Infected
4180,2,354,1.0,13,105165,13,1372,0,0,0,0,128,0.1618517,3.01,3.8,5.52,2,993,Infected
4180,2,354,1.0,0,105165,0,0,0,0,0,0,133,0.16823657,2.93,3.75,5.48,1,993,Infected
4180,2,354,1.0,36,108465,36,3576,0,0,0,0,129,0.16384512,3.16,3.78,5.47,2,962,Infected
4180,2,354,1.0,13,109591,13,1228,0,0,0,0,137,0.1737678,3.13,3.75,5.45,1,962,Infected
4180,2,354,1.0,0,109591,0,0,0,0,0,0,137,0.17412306,3.57,3.82,5.45,1,962,Infected
4180,2,354,1.0,36,112891,36,3576,0,0,0,0,137,0.17363459,3.78,3.86,5.45,1,962,Infected
4175,2,357,1.0,24,114859,24,2208,0,0,0,0,134,0.17044708,3.97,3.9,5.44,3,947,Infected
4175,2,357,1.0,301,140489,301,28612,0,0,0,0,130,0.16423987,4.11,3.94,5.44,1,921,Infected
4175,2,357,1.0,36,143477,36,3348,0,0,0,0,121,0.15384842,4.09,3.94,5.42,3,857,Infected
4175,2,357,1.0,12,144413,12,1056,0,0,0,0,123,0.1555606,4.15,3.96,5.41,3,869,Infected
4175,2,357,1.0,0,144413,0,0,0,0,0,0,131,0.16617407,3.82,3.89,5.38,1,865,Infected
4175,2,357,1.0,84,151553,84,7980,0,0,0,0,325,0.41120657,3.68,3.86,5.35,6,856,Infected
4172,2,360,1.0,66,157232,61,5632,0,0,0,0,309,0.39149937,3.88,3.9,5.35,3,861,Infected
4172,2,360,1.0,39,160661,36,3276,0,0,0,0,312,0.3947658,4.05,3.93,5.34,3,861,Infected
4172,2,360,1.0,39,164090,36,3276,0,0,0,0,332,0.41944173,3.88,3.9,5.32,1,855,Infected
4172,2,360,1.0,40,167781,37,3520,0,0,0,0,273,0.34494516,3.91,3.91,5.3,2,882,Infected
4172,2,360,1.0,291,192270,288,26772,0,0,0,0,167,0.2121411,4.06,3.94,5.3,5,915,Infected
4172,2,360,1.0,27,195171,24,2544,0,0,0,0,163,0.20674308,3.96,3.93,5.28,2,915,Infected
4155,2,362,1.0,27,197760,24,2316,0,0,0,0,163,0.2065013,3.65,3.86,5.25,1,915,Infected
4155,2,362,1.0,28,200455,25,2404,0,0,0,0,162,0.20585985,3.63,3.85,5.23,5,912,Infected
4155,2,362,1.0,15,201928,12,1080,0,0,0,0,168,0.21236807,3.46,3.81,5.2,3,912,Infected
4155,2,362,1.0,15,203521,12,1200,0,0,0,0,169,0.21393222,3.31,3.76,5.17,4,912,Infected
4155,2,362,1.0,27,206170,24,2376,0,0,0,0,173,0.21858516,3.18,3.72,5.14,3,912,Infected
4155,2,362,1.0,28,208673,25,2212,0,0,0,0,173,0.21868385,3.01,3.67,5.11,1,912,Infected
4148,2,366,1.0,27,211262,24,2316,0,0,0,0,172,0.21813121,2.85,3.61,5.07,2,912,Infected
4148,2,366,1.0,3,211775,0,0,0,0,0,0,172,0.21733189,2.96,3.61,5.06,4,912,Infected
4148,2,366,1.0,27,214280,24,2232,0,0,0,0,170,0.21506707,2.74,3.54,5.02,2,913,Infected
4148,2,366,1.0,16,216147,13,1372,0,0,0,0,170,0.21506214,2.94,3.55,5.01,2,913,Infected
4148,2,366,1.0,3,216660,0,0,0,0,0,0,169,0.21471182,2.8,3.5,4.98,5,913,Infected
4148,2,366,1.0,3,217173,0,0,0,0,0,0,170,0.2159799,2.97,3.52,4.96,1,913,Infected
4149,2,369,1.0,3,217686,0,0,0,0,0,0,170,0.21584176,3.06,3.52,4.95,1,913,Infected
4149,2,369,1.0,3,218199,64,26220,0,0,0,0,170,0.21562958,2.97,3.48,4.92,3,913,Infected
4149,2,369,1.0,3,218712,7,2680,0,0,0,0,169,0.2140457,2.97,3.47,4.9,1,913,Infected
4149,2,369,1.0,3,219225,0,0,0,0,0,0,168,0.21343386,2.97,3.45,4.88,2,913,Infected
4149,2,369,1.0,40,223084,37,3604,0,0,0,0,162,0.20584999,3.04,3.45,4.87,1,913,Infected
4149,2,369,1.0,27,225541,24,2184,0,0,0,0,140,0.17702931,3.49,3.54,4.88,1,904,Infected
