%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}


@DATA
4254,327,0.89,0,0,0,0,0,0,0,0,247,0.31321824,1.92,1.72,1.73,1,1192,Infected
4254,327,0.89,0,0,0,0,0,0,0,0,223,0.28172815,2.02,1.74,1.73,1,1170,Infected
4254,327,0.89,0,0,0,0,0,0,0,0,237,0.2997824,2.23,1.8,1.75,1,1186,Infected
4254,327,0.89,0,0,0,0,0,0,0,0,242,0.3061278,2.35,1.84,1.77,1,1189,Infected
4254,327,0.89,0,0,0,0,0,0,0,0,242,0.30673468,2.37,1.86,1.77,1,1189,Infected
4254,327,0.89,0,0,0,0,0,0,0,0,241,0.30486465,2.39,1.88,1.78,1,1190,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,240,0.30432186,2.57,1.94,1.8,1,1196,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,240,0.30380872,2.48,1.94,1.8,1,1192,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,256,0.32449782,2.57,1.97,1.81,1,1203,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,219,0.2776525,2.56,1.99,1.82,1,1200,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,225,0.28511795,2.47,1.99,1.82,1,1200,Infected
4228,331,0.89,0,0,0,0,0,0,0,0,228,0.2881673,2.56,2.03,1.84,2,1204,Infected
4237,335,0.89,0,0,0,0,0,0,0,0,228,0.28856203,2.71,2.07,1.85,1,1200,Infected
4237,335,0.89,0,0,0,0,0,0,0,0,227,0.28784657,2.53,2.06,1.85,4,1204,Infected
4237,335,0.89,0,0,0,0,0,0,0,0,228,0.28802913,2.76,2.12,1.87,1,1200,Infected
4237,335,0.89,0,0,0,0,0,0,0,0,226,0.28583342,2.72,2.13,1.88,1,1205,Infected
4237,335,0.89,34,5262,27,14504,0,0,0,0,216,0.27371502,2.77,2.16,1.89,2,1221,Infected
4237,335,0.89,79,14118,69,64328,0,0,0,0,127,0.16129415,2.89,2.21,1.91,2,1114,Infected
4202,338,0.89,8,14934,7,378,0,0,0,0,133,0.168429,3.0,2.25,1.93,2,1075,Infected
4202,338,0.89,8,15716,8,430,0,0,0,0,137,0.17329413,2.85,2.24,1.93,1,1075,Infected
4202,338,0.89,20,17273,21,13217,0,0,0,0,162,0.20574144,2.71,2.23,1.93,2,1075,Infected
4202,338,0.89,22,18992,22,15696,0,0,0,0,159,0.20189276,2.6,2.22,1.93,1,1075,Infected
4202,338,0.89,19,20457,17,10904,0,0,0,0,142,0.180202,2.5,2.22,1.93,2,1075,Infected
4202,338,0.89,23,22271,23,1348,0,0,0,0,144,0.18189937,2.35,2.19,1.93,1,1074,Infected
4187,340,0.89,35,27331,28,7393,0,0,0,0,143,0.18178588,2.38,2.2,1.93,1,1070,Infected
4187,340,0.89,14,28795,14,742,0,0,0,0,146,0.18541253,2.41,2.21,1.94,2,1070,Infected
4187,340,0.89,138,74778,114,30513,0,0,0,0,130,0.16524151,2.66,2.27,1.96,3,1098,Infected
4187,340,0.89,267,163716,157,42051,0,0,0,0,160,0.20261316,3.31,2.43,2.02,2,1099,Infected
4187,340,0.89,14,164900,14,742,0,0,0,0,157,0.19936152,3.19,2.43,2.02,2,1099,Infected
4187,340,0.89,15,166154,15,890,0,0,0,0,157,0.19912961,3.15,2.45,2.03,1,1099,Infected
4176,344,0.89,15,167448,15,831,0,0,0,0,157,0.19889277,2.98,2.43,2.03,1,1099,Infected
4176,344,0.89,16,168804,16,846,0,0,0,0,157,0.19855231,2.75,2.4,2.03,2,1099,Infected
4176,344,0.89,14,169988,14,742,0,0,0,0,156,0.19808355,2.63,2.39,2.03,2,1098,Infected
4176,344,0.89,14,171212,14,742,0,0,0,0,156,0.19754572,2.83,2.44,2.05,8,1097,Infected
4176,344,0.89,14,172396,14,742,0,0,0,0,157,0.19850296,2.71,2.43,2.05,2,1097,Infected
4176,344,0.89,14,173580,14,742,0,0,0,0,157,0.19848323,2.82,2.46,2.06,2,1097,Infected
4184,350,0.89,15,174834,15,879,0,0,0,0,156,0.19819704,2.91,2.5,2.08,4,1097,Infected
4184,350,0.89,14,176018,14,742,0,0,0,0,156,0.19797501,2.84,2.5,2.08,2,1097,Infected
4184,350,0.89,15,177204,15,6683,0,0,0,0,156,0.19728422,2.64,2.46,2.08,2,1090,Infected
4184,350,0.89,8,177823,7,385,0,0,0,0,143,0.18065596,2.85,2.51,2.1,1,1088,Infected
4184,350,0.89,8,178562,7,378,0,0,0,0,144,0.18252108,2.86,2.53,2.11,1,1088,Infected
4184,350,0.89,9,179541,10,534,0,0,0,0,143,0.18160331,2.66,2.5,2.1,1,1088,Infected
4183,354,0.89,6,180493,6,326,0,0,0,0,143,0.1814553,2.48,2.46,2.09,2,1088,Infected
4183,354,0.89,7,181654,6,326,0,0,0,0,143,0.1818895,2.25,2.41,2.08,1,1088,Infected
4183,354,0.89,6,182246,7,378,0,0,0,0,143,0.18161812,2.2,2.4,2.08,2,1088,Infected
4183,354,0.89,6,182858,6,326,0,0,0,0,145,0.18331549,2.09,2.37,2.07,2,1088,Infected
4183,354,0.89,6,183330,6,326,0,0,0,0,144,0.18291582,2.0,2.34,2.07,2,1088,Infected
4183,354,0.89,8,183971,7,407,0,0,0,0,144,0.18245694,1.93,2.31,2.06,1,1088,Infected
4088,347,0.89,72,202338,53,27918,0,0,0,0,132,0.16711651,1.94,2.3,2.06,1,1078,Infected
4088,347,0.89,0,0,0,0,0,0,0,0,153,0.1942102,3.05,2.54,2.14,1,1047,Infected
4088,347,0.89,17,1525,18,1279,0,0,0,0,154,0.1950589,3.05,2.55,2.15,3,1060,Infected
4088,347,0.89,8,2448,12,2575,0,0,0,0,154,0.1945408,2.89,2.54,2.15,2,1060,Infected
4088,347,0.89,3,2961,5,1071,0,0,0,0,153,0.1942941,3.05,2.58,2.17,1,1060,Infected
4088,347,0.89,6,3732,14,3781,0,0,0,0,153,0.19371185,3.37,2.66,2.2,1,1059,Infected
4161,347,0.89,7,4525,8,793,0,0,0,0,153,0.19351941,3.01,2.61,2.18,1,1057,Infected
4161,347,0.89,14,6081,22,4942,0,0,0,0,152,0.19291745,2.7,2.56,2.17,1,1057,Infected
4161,347,0.89,3,6594,3,459,0,0,0,0,153,0.19395857,3.0,2.62,2.2,1,1057,Infected
4161,347,0.89,6,7365,14,3781,0,0,0,0,153,0.19365264,2.76,2.58,2.19,1,1056,Infected
4161,347,0.89,3,7878,3,459,0,0,0,0,153,0.1934306,2.71,2.58,2.19,2,1056,Infected
4161,347,0.89,4,8477,12,3645,0,0,0,0,152,0.19299147,2.45,2.53,2.18,1,1056,Infected
4143,338,0.89,19,13490,17,5901,0,0,0,0,152,0.19235495,2.23,2.48,2.17,1,1056,Infected
4143,338,0.89,8,14580,14,3854,0,0,0,0,151,0.19147666,2.26,2.48,2.17,1,1056,Infected
4143,338,0.89,6,15351,6,663,0,0,0,0,130,0.16438788,2.31,2.48,2.17,1,1061,Infected
4143,338,0.89,121,28829,112,113650,0,0,0,0,350,0.4425634,2.34,2.48,2.18,2,1032,Infected
4143,338,0.89,34,33911,33,15552,0,0,0,0,232,0.29316562,2.43,2.5,2.18,7,1046,Infected
4143,338,0.89,100,56532,137,67916,0,0,0,0,177,0.2244766,2.37,2.48,2.18,1,1064,Infected
4114,337,0.88,7,57373,22,7708,0,0,0,0,177,0.22472824,2.46,2.5,2.19,2,1064,Infected
4114,337,0.88,4,57956,12,3629,0,0,0,0,178,0.22584832,2.47,2.5,2.2,2,1064,Infected
4114,337,0.88,6,58727,6,663,0,0,0,0,178,0.22565095,2.56,2.52,2.2,3,1061,Infected
4114,337,0.88,3,59240,8,2509,0,0,0,0,185,0.2340835,2.54,2.51,2.21,2,1061,Infected
4114,337,0.88,4,59839,4,527,0,0,0,0,183,0.23240094,2.54,2.51,2.21,3,1061,Infected
4114,337,0.88,59,66505,65,66255,0,0,0,0,180,0.22781706,2.68,2.55,2.22,2,1063,Infected
4078,340,0.88,16,71142,14,5701,0,0,0,0,181,0.22885817,2.65,2.54,2.23,2,1063,Infected
4078,340,0.88,6,71913,13,3428,0,0,0,0,180,0.22826114,2.63,2.54,2.23,2,1063,Infected
4078,340,0.88,3,72426,3,459,0,0,0,0,181,0.22888285,2.53,2.53,2.23,1,1063,Infected
4078,340,0.88,6,73197,9,1934,0,0,0,0,181,0.22889271,2.53,2.52,2.23,1,1063,Infected
4078,340,0.88,3,73710,3,459,0,0,0,0,181,0.22900127,2.6,2.54,2.24,1,1063,Infected
4078,340,0.88,6,74481,9,1934,0,0,0,0,180,0.22844864,2.74,2.57,2.25,1,1063,Infected
4084,343,0.88,4,75064,4,548,0,0,0,0,180,0.22830062,2.78,2.59,2.26,3,1063,Infected
4084,343,0.88,8,75951,16,3137,0,0,0,0,160,0.2021148,2.82,2.6,2.27,1,1057,Infected
