%Data collected from Uninfected Android phone on 03/20/15 this data set is not included in training3

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,Infected}

@DATA
3809,284,0.37,0,0,0,0,0,0,0,0,158,0.19961315,2.07,1.55,1.43,1,982,Normal
3809,284,0.37,76,7981,130,88222,0,0,0,0,137,0.17306222,2.21,1.6,1.44,2,990,Normal
3809,284,0.37,6,8453,6,326,0,0,0,0,140,0.17782372,2.03,1.58,1.44,2,990,Normal
3809,284,0.37,13,9752,19,1971,0,0,0,0,139,0.1765803,2.03,1.59,1.45,2,990,Normal
3809,284,0.37,6,10664,5,274,0,0,0,0,139,0.17663458,2.1,1.62,1.46,2,990,Normal
3809,284,0.37,7,11566,6,326,0,0,0,0,140,0.17696516,2.08,1.63,1.46,2,990,Normal
3721,292,0.36,17,12910,15,6941,0,0,0,0,154,0.19539441,1.99,1.63,1.46,1,990,Normal
3721,292,0.36,33,15539,33,14925,0,0,0,0,153,0.19338126,1.84,1.61,1.46,1,989,Normal
3721,292,0.36,17,16870,18,10768,0,0,0,0,173,0.21905391,1.78,1.6,1.46,1,989,Normal
3721,292,0.36,18,18312,18,8478,0,0,0,0,156,0.19766414,1.66,1.58,1.45,2,989,Normal
3721,292,0.36,20,19932,20,6780,0,0,0,0,157,0.19844376,1.63,1.58,1.45,1,989,Normal
3721,292,0.36,12,20938,12,638,0,0,0,0,155,0.19609013,1.54,1.56,1.45,1,989,Normal
3677,303,0.36,14,22122,14,742,0,0,0,0,156,0.19762467,1.84,1.63,1.47,2,989,Normal
3677,303,0.36,14,23386,14,742,0,0,0,0,156,0.19763455,1.71,1.61,1.47,2,989,Normal
3677,303,0.36,14,24770,14,742,0,0,0,0,156,0.1971806,1.76,1.62,1.47,2,989,Normal
3677,303,0.36,14,25974,14,742,0,0,0,0,156,0.19733849,2.03,1.68,1.49,2,989,Normal
3677,303,0.36,14,27178,14,742,0,0,0,0,155,0.19642566,1.95,1.67,1.49,4,989,Normal
3677,303,0.36,14,28442,14,742,0,0,0,0,155,0.1964306,1.96,1.69,1.5,2,989,Normal
3658,315,0.35,14,29646,14,742,0,0,0,0,155,0.19644047,1.88,1.68,1.5,2,989,Normal
3658,315,0.35,14,30830,14,742,0,0,0,0,155,0.1966033,1.98,1.71,1.51,1,989,Normal
3658,315,0.35,14,32574,19,2486,0,0,0,0,156,0.1971362,1.98,1.72,1.52,2,989,Normal
3658,315,0.35,14,33778,64,18926,0,0,0,0,156,0.19722994,2.14,1.76,1.53,1,988,Normal
3658,315,0.35,14,34962,14,742,0,0,0,0,156,0.19714113,2.05,1.75,1.53,2,988,Normal
3658,315,0.35,14,36146,14,742,0,0,0,0,156,0.1972398,2.04,1.76,1.54,1,988,Normal
3676,324,0.35,14,37330,14,742,0,0,0,0,155,0.19678587,2.03,1.77,1.54,2,988,Normal
3676,324,0.35,14,38514,14,742,0,0,0,0,155,0.1964454,2.1,1.79,1.55,2,988,Normal
3676,324,0.35,14,39698,14,742,0,0,0,0,155,0.19628751,2.01,1.78,1.55,1,988,Normal
3676,324,0.35,14,40882,14,742,0,0,0,0,155,0.1958385,2.23,1.84,1.57,2,988,Normal
3676,324,0.35,15,42030,14,6765,0,0,0,0,139,0.1756576,2.2,1.84,1.58,1,988,Normal
3676,324,0.35,24,51895,19,5683,0,0,0,0,145,0.18407042,2.17,1.85,1.58,1,987,Normal
3665,331,0.34,14,54135,123,43287,0,0,0,0,119,0.15125304,2.86,2.0,1.63,4,1007,Normal
3665,331,0.34,1,70,1,313,0,0,0,0,142,0.17976286,3.04,2.07,1.66,5,799,Normal
3665,331,0.34,1,70,0,0,0,0,0,0,311,0.39363587,2.95,2.08,1.67,4,754,Normal
3665,331,0.34,4,3098,0,0,0,0,0,0,313,0.39595494,3.18,2.16,1.7,3,758,Normal
3665,331,0.34,2,3226,1,42,0,0,0,0,313,0.39572304,3.07,2.17,1.71,2,758,Normal
3665,331,0.34,1,4670,0,0,0,0,0,0,312,0.395052,2.98,2.18,1.72,1,755,Normal
3702,338,0.34,2,4810,0,0,0,0,0,0,306,0.38654047,3.06,2.23,1.73,1,782,Normal
3702,338,0.34,2,4926,1,42,0,0,0,0,303,0.38381186,3.05,2.25,1.75,3,792,Normal
