%Data collected from Android phone

@RELATION phone

%Battery
@ATTRIBUTE Batt_Voltage  		NUMERIC
@ATTRIBUTE Batt_Temp  			NUMERIC
@ATTRIBUTE Batt_Percent_Level   NUMERIC

%Network
@ATTRIBUTE Local_TX_Packet_Delta	NUMERIC
@ATTRIBUTE Local_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Local_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Local_RX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_TX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_TX_Byte_Delta   	NUMERIC
@ATTRIBUTE Mobile_RX_Packet_Delta  	NUMERIC
@ATTRIBUTE Mobile_RX_Byte_Delta   	NUMERIC

%Memory
@ATTRIBUTE Memory_Available  	NUMERIC
@ATTRIBUTE Memory_Percentage   	NUMERIC

%CPU
@ATTRIBUTE Load_Avg_1_min	NUMERIC
@ATTRIBUTE Load_Avg_5_min  	NUMERIC
@ATTRIBUTE Load_Avg_15_min  NUMERIC
@ATTRIBUTE Running_Entities	NUMERIC
@ATTRIBUTE Total_Entities   NUMERIC

@ATTRIBUTE Class        {Normal,?}


@DATA
3735,314,0.3,27,595416,17,6759,0,0,0,0,375,0.4742854,2.82,2.92,2.48,1,952,?
3735,314,0.3,24,598595,20,10440,0,0,0,0,332,0.41943187,2.69,2.89,2.47,1,968,?
3735,314,0.3,91,610288,83,79794,0,0,0,0,186,0.2354552,2.74,2.89,2.48,2,975,?
3735,314,0.3,9,611150,7,385,0,0,0,0,146,0.18562469,2.62,2.86,2.47,3,982,?
3735,314,0.3,6,611622,6,326,0,0,0,0,146,0.18544707,2.6,2.85,2.47,2,982,?
3735,314,0.3,6,612094,87,28886,0,0,0,0,146,0.18516581,2.43,2.81,2.46,2,983,?
3620,318,0.3,9,612790,8,567,0,0,0,0,146,0.18494871,2.28,2.76,2.45,2,983,?
3620,318,0.3,8,613402,8,519,0,0,0,0,146,0.18456878,2.48,2.79,2.47,4,983,?
3620,318,0.3,15,614504,15,932,0,0,0,0,146,0.1852645,2.41,2.76,2.46,1,982,?
3620,318,0.3,28,618862,21,7342,0,0,0,0,148,0.1873566,2.59,2.79,2.47,1,978,?
3620,318,0.3,6,619334,6,326,0,0,0,0,148,0.18700626,2.57,2.78,2.47,4,978,?
3620,318,0.3,6,619806,6,326,0,0,0,0,147,0.18685825,2.49,2.75,2.47,1,978,?
3584,320,0.3,2518,898082,1222,108662,0,0,0,0,144,0.18257043,2.5,2.74,2.47,2,984,?
3584,320,0.3,12,898974,13,1391,0,0,0,0,145,0.18324147,2.66,2.77,2.48,2,983,?
3584,320,0.3,8,899586,8,542,0,0,0,0,145,0.18325628,2.64,2.76,2.48,2,983,?
3584,320,0.3,17,900828,17,1994,0,0,0,0,144,0.18305397,2.47,2.72,2.47,2,983,?
3584,320,0.3,6,901300,6,326,0,0,0,0,147,0.1866214,2.32,2.68,2.46,3,983,?
3584,320,0.3,10,902064,10,673,0,0,0,0,148,0.18708521,2.35,2.67,2.46,2,984,?
3593,321,0.29,6,902536,6,326,0,0,0,0,148,0.18702601,2.45,2.68,2.47,2,983,?
3593,321,0.29,9,903218,9,677,0,0,0,0,148,0.18703094,2.53,2.7,2.47,2,983,?
3593,321,0.29,6,903690,6,326,0,0,0,0,147,0.18657699,2.52,2.69,2.47,1,983,?
3593,321,0.29,20,908062,17,1849,0,0,0,0,147,0.18600956,2.68,2.72,2.48,1,983,?
3593,321,0.29,6,908534,6,326,0,0,0,0,147,0.18595529,2.72,2.72,2.49,2,983,?
3593,321,0.29,6,909006,6,326,0,0,0,0,146,0.1854964,2.61,2.7,2.48,2,983,?
3596,325,0.29,7,909548,7,471,0,0,0,0,146,0.18508686,2.44,2.66,2.47,2,983,?
3596,325,0.29,7,910241,7,378,0,0,0,0,147,0.1860441,2.29,2.62,2.46,1,983,?
3596,325,0.29,21,911978,15,2094,0,0,0,0,147,0.18599969,2.24,2.6,2.46,1,982,?
3596,325,0.29,7,912654,6,338,0,0,0,0,149,0.18919212,2.05,2.55,2.44,1,982,?
3596,325,0.29,7,913196,7,459,0,0,0,0,149,0.1890737,2.12,2.55,2.44,2,982,?
3596,325,0.29,6,913668,6,326,0,0,0,0,151,0.1907464,2.26,2.56,2.45,2,982,?
3617,323,0.28,6,914140,6,326,0,0,0,0,151,0.19075626,2.23,2.54,2.44,2,982,?
3617,323,0.28,7,914682,7,486,0,0,0,0,150,0.19050463,2.19,2.53,2.44,2,982,?
3617,323,0.28,6,915154,6,326,0,0,0,0,150,0.19035167,2.24,2.53,2.44,1,982,?
3617,323,0.28,6,915626,6,326,0,0,0,0,150,0.19035167,2.2,2.51,2.44,5,983,?
3617,323,0.28,6,916098,6,326,0,0,0,0,150,0.19015923,2.32,2.52,2.44,2,983,?
3617,323,0.28,6,916570,6,326,0,0,0,0,150,0.19023325,2.34,2.52,2.44,2,982,?
3621,323,0.28,7,917112,7,378,0,0,0,0,150,0.18984343,2.45,2.54,2.45,2,983,?
3621,323,0.28,22,924041,18,5350,0,0,0,0,143,0.18157372,2.38,2.52,2.44,2,980,?
3621,323,0.28,0,924041,0,0,0,0,0,0,155,0.1958977,2.17,2.47,2.43,1,978,?
3621,323,0.28,0,924041,0,0,0,0,0,0,154,0.19573487,1.99,2.42,2.41,1,978,?
3621,323,0.28,2,924193,2,260,0,0,0,0,154,0.19559178,1.84,2.38,2.4,1,978,?
3621,323,0.28,0,924193,0,0,0,0,0,0,154,0.19544376,1.71,2.33,2.38,1,978,?
3697,316,0.27,0,924193,0,0,0,0,0,0,155,0.19619869,1.67,2.3,2.37,1,978,?
3697,316,0.27,2,924333,2,141,0,0,0,0,155,0.19619869,1.57,2.26,2.36,1,976,?
3697,316,0.27,1,924415,3,156,0,0,0,0,155,0.1960556,1.63,2.25,2.35,1,976,?
3697,316,0.27,3,924666,3,185,0,0,0,0,155,0.19590758,1.61,2.23,2.34,1,976,?
3697,316,0.27,0,924666,0,0,0,0,0,0,155,0.19583356,1.51,2.19,2.33,1,976,?
3697,316,0.27,0,924666,0,0,0,0,0,0,154,0.1956806,1.43,2.15,2.32,1,976,?
3687,307,0.27,0,924666,75,26568,0,0,0,0,154,0.19533521,1.37,2.11,2.3,2,976,?
3687,307,0.27,0,924666,0,0,0,0,0,0,156,0.19717073,1.31,2.07,2.29,1,976,?
3687,307,0.27,0,924666,0,0,0,0,0,0,155,0.1970375,1.26,2.04,2.27,1,976,?
3687,307,0.27,1,924712,1,42,0,0,0,0,155,0.19702764,1.22,2.0,2.26,1,976,?
3687,307,0.27,0,924712,0,0,0,0,0,0,155,0.19695362,1.19,1.97,2.25,1,976,?
3687,307,0.27,0,924712,0,0,0,0,0,0,155,0.1968056,1.16,1.94,2.23,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,155,0.19674145,1.14,1.91,2.22,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,155,0.1966033,1.11,1.88,2.21,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,155,0.19697335,1.1,1.85,2.19,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,155,0.19704737,1.08,1.82,2.18,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,156,0.19705231,1.07,1.79,2.17,1,976,?
3706,302,0.27,0,924712,0,0,0,0,0,0,155,0.19689935,1.14,1.78,2.16,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,155,0.1968352,1.12,1.76,2.15,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,155,0.19669211,1.1,1.73,2.14,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,155,0.19581382,1.16,1.73,2.13,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,155,0.19580889,1.21,1.72,2.12,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,154,0.19567072,1.18,1.69,2.11,1,976,?
3706,296,0.27,0,924712,0,0,0,0,0,0,154,0.19559672,1.15,1.67,2.1,1,976,?
3691,293,0.27,0,924712,0,0,0,0,0,0,154,0.19537468,1.13,1.65,2.09,1,976,?
3691,293,0.27,0,924712,0,0,0,0,0,0,154,0.19531053,1.11,1.63,2.08,1,975,?
3691,293,0.27,0,924712,0,0,0,0,0,0,154,0.1951033,1.09,1.61,2.06,1,975,?
3691,293,0.27,2,924881,1,81,0,0,0,0,154,0.19479738,1.08,1.59,2.05,1,975,?
3691,293,0.27,0,924881,0,0,0,0,0,0,154,0.1953648,1.07,1.57,2.04,1,975,?
3691,293,0.27,0,924881,0,0,0,0,0,0,154,0.19529574,1.3,1.6,2.05,1,975,?
3693,290,0.27,0,924881,0,0,0,0,0,0,154,0.19521679,1.25,1.58,2.04,1,975,?
3693,290,0.27,1,924927,1,42,0,0,0,0,154,0.19507863,1.21,1.56,2.02,1,975,?
3693,290,0.27,0,924927,0,0,0,0,0,0,154,0.19500954,1.18,1.54,2.01,1,975,?
3693,290,0.27,0,924927,0,0,0,0,0,0,154,0.19488126,1.15,1.52,2.0,1,975,?
3693,290,0.27,0,924927,0,0,0,0,0,0,154,0.1947875,1.13,1.51,1.99,1,975,?
3693,290,0.27,0,924927,0,0,0,0,0,0,153,0.19450626,1.11,1.49,1.98,1,975,?
3603,289,0.27,76,932861,71,74511,0,0,0,0,160,0.20279078,1.17,1.49,1.98,2,987,?
3603,289,0.27,11,933776,10,647,0,0,0,0,146,0.18553588,1.07,1.46,1.96,2,987,?
3603,289,0.27,26,936285,23,6063,0,0,0,0,164,0.20835163,1.37,1.51,1.97,1,986,?
3691,291,0.26,5,939402,4,480,0,0,0,0,149,0.18879245,1.31,1.49,1.96,1,985,?
3691,291,0.26,1,939472,1,143,0,0,0,0,149,0.18939936,1.26,1.48,1.95,1,981,?
3691,291,0.26,0,939472,0,0,0,0,0,0,150,0.19026284,1.22,1.46,1.94,1,981,?
3691,291,0.26,3,939682,3,304,0,0,0,0,150,0.19029738,1.19,1.45,1.93,1,981,?
3717,287,0.26,5,940008,5,440,0,0,0,0,149,0.18916252,1.16,1.43,1.92,1,988,?
3717,287,0.26,9,940776,9,519,0,0,0,0,151,0.19092897,1.36,1.47,1.93,2,990,?
3717,287,0.26,9,941645,9,585,0,0,0,0,152,0.19311482,1.38,1.47,1.92,1,989,?
3717,287,0.26,23,943605,16,9242,0,0,0,0,154,0.1945852,1.63,1.52,1.93,1,985,?
3717,287,0.26,34,946538,40,9144,0,0,0,0,158,0.20030394,1.61,1.52,1.93,2,986,?
3717,287,0.26,15,947792,15,843,0,0,0,0,158,0.199924,1.51,1.5,1.92,1,986,?
3561,294,0.26,20,949412,20,7372,0,0,0,0,157,0.19841415,1.43,1.48,1.91,2,986,?
3561,294,0.26,18,950794,18,12835,0,0,0,0,164,0.20736973,1.52,1.5,1.91,2,986,?
3561,294,0.26,14,951871,12,7380,0,0,0,0,159,0.20151776,1.75,1.55,1.92,4,986,?
3561,294,0.26,21,953463,21,16068,0,0,0,0,152,0.19202928,1.72,1.55,1.92,1,986,?
3561,294,0.26,24,955341,24,13261,0,0,0,0,153,0.19356382,1.85,1.58,1.92,2,986,?
3561,294,0.26,20,956942,20,6822,0,0,0,0,155,0.19684014,2.03,1.63,1.94,1,987,?
3578,301,0.25,14,958346,12,680,0,0,0,0,156,0.19734342,2.11,1.66,1.94,3,987,?
3578,301,0.25,15,959680,15,878,0,0,0,0,156,0.1977727,2.31,1.72,1.96,1,987,?
3578,301,0.25,15,961094,16,934,0,0,0,0,156,0.1975852,2.27,1.73,1.96,1,987,?
3578,301,0.25,14,962298,13,690,0,0,0,0,155,0.19675133,2.3,1.75,1.97,2,987,?
3578,301,0.25,14,964122,15,794,0,0,0,0,156,0.19739276,2.26,1.76,1.97,3,987,?
3578,301,0.25,15,965416,14,844,0,0,0,0,155,0.19654408,2.22,1.77,1.97,2,987,?
3577,310,0.25,15,966670,15,877,0,0,0,0,155,0.1966477,2.19,1.77,1.97,2,987,?
3577,310,0.25,15,967917,16,1035,0,0,0,0,155,0.1958829,2.01,1.75,1.95,2,987,?
3577,310,0.25,14,969101,15,794,0,0,0,0,155,0.19619869,2.16,1.79,1.97,2,987,?
3577,310,0.25,14,970285,14,742,0,0,0,0,154,0.1957398,2.05,1.78,1.96,2,987,?
3577,310,0.25,14,971469,14,742,0,0,0,0,154,0.19542895,2.19,1.82,1.97,2,987,?
3577,310,0.25,14,972653,14,742,0,0,0,0,154,0.19559178,2.0,1.79,1.96,1,987,?
3567,318,0.24,14,973837,13,690,0,0,0,0,154,0.19546843,2.16,1.83,1.97,1,987,?
3567,318,0.24,14,975021,14,742,0,0,0,0,155,0.19624309,2.28,1.87,1.98,4,987,?
